status,league,pregame_home_wp,away_ID,traversals_70_30,tension_game_score,home_ID,elo_transfer,home_score,game_date,away_score,ID
completedFromNCAA,NCAA D1 Men,0.742903,28,1,108.0,64,7.404,16,2022-02-13,8,10002
completedFromNCAA,NCAA D1 Men,0.298895,64,0,106.0,14,18.307,8,2022-02-19,10,10003
completedFromNCAA,NCAA D1 Men,0.336968,64,0,126.0,1,30.921,11,2022-02-26,16,10004
completedFromNCAA,NCAA D1 Men,0.924511,69,1,176.0,64,2.154,21,2022-03-01,4,10005
completedFromNCAA,NCAA D1 Men,0.743307,41,0,89.0,64,29.282,8,2022-03-05,10,10006
scheduled,NCAA D1 Men,0.242514,64,,,2,,,2022-03-12,,10007
scheduled,NCAA D1 Men,0.906181,84,,,64,,,2022-03-19,,10008
scheduled,NCAA D1 Men,0.229626,64,,,46,,,2022-03-26,,10009
scheduled,NCAA D1 Men,0.379892,64,,,27,,,2022-04-02,,10010
scheduled,NCAA D1 Men,0.0829036,64,,,9,,,2022-04-09,,10011
scheduled,NCAA D1 Men,0.909162,16,,,64,,,2022-04-16,,10012
scheduled,NCAA D1 Men,0.75193,18,,,64,,,2022-04-19,,10013
scheduled,NCAA D1 Men,0.977545,4,,,64,,,2022-04-23,,10014
scheduled,NCAA D1 Men,0.248095,64,,,22,,,2022-04-29,,10015
completedFromNCAA,NCAA D1 Men,0.789574,49,1,126.0,62,5.711,16,2022-02-19,8,10016
completedFromNCAA,NCAA D1 Men,0.502101,49,0,76.0,23,9.496,14,2022-02-26,12,10017
completedFromNCAA,NCAA D1 Men,0.875972,70,1,111.0,49,2.169,11,2022-03-02,7,10018
scheduled,NCAA D1 Men,0.535925,49,,,66,,,2022-03-08,,10019
scheduled,NCAA D1 Men,0.901709,49,,,3,,,2022-03-12,,10020
scheduled,NCAA D1 Men,0.783162,50,,,49,,,2022-03-19,,10021
scheduled,NCAA D1 Men,0.503214,8,,,49,,,2022-03-26,,10022
scheduled,NCAA D1 Men,0.093034,49,,,57,,,2022-04-02,,10023
scheduled,NCAA D1 Men,0.468879,42,,,49,,,2022-04-07,,10024
scheduled,NCAA D1 Men,0.52366,49,,,58,,,2022-04-09,,10025
scheduled,NCAA D1 Men,0.397515,38,,,49,,,2022-04-16,,10026
scheduled,NCAA D1 Men,0.0331994,49,,,26,,,2022-04-22,,10027
scheduled,NCAA D1 Men,0.792028,49,,,52,,,2022-04-24,,10028
scheduled,NCAA D1 Men,0.339319,14,,,49,,,2022-04-30,,10029
completedFromNCAA,NCAA D1 Men,0.852301,12,1,137.0,11,4.001,21,2022-02-05,11,10030
completedFromNCAA,NCAA D1 Men,0.888389,12,1,106.0,27,1.91,13,2022-02-12,9,10031
completedFromNCAA,NCAA D1 Men,0.415473,12,1,50.0,54,15.676,11,2022-02-19,8,10032
completedFromNCAA,NCAA D1 Men,0.6171,17,1,35.0,12,4.688,9,2022-02-28,8,10033
completedFromNCAA,NCAA D1 Men,0.294219,68,1,111.0,12,32.285,9,2022-02-27,15,10034
completedFromNCAA,NCAA D1 Men,0.430416,34,0,143.0,12,24.882,17,2022-03-05,8,10035
scheduled,NCAA D1 Men,0.670374,12,,,15,,,2022-03-12,,10036
scheduled,NCAA D1 Men,0.283003,12,,,56,,,2022-03-19,,10037
scheduled,NCAA D1 Men,0.508094,12,,,16,,,2022-03-26,,10038
scheduled,NCAA D1 Men,0.483019,84,,,12,,,2022-04-02,,10039
scheduled,NCAA D1 Men,0.404702,12,,,60,,,2022-04-09,,10040
scheduled,NCAA D1 Men,0.585796,67,,,12,,,2022-04-16,,10041
scheduled,NCAA D1 Men,0.660973,12,,,36,,,2022-04-23,,10042
scheduled,NCAA D1 Men,0.709907,53,,,12,,,2022-04-30,,10043
completedFromNCAA,NCAA D1 Men,0.568228,53,0,75.0,56,17.3,9,2022-01-29,4,10044
completedFromNCAA,NCAA D1 Men,0.722871,53,0,164.0,31,8.407,22,2022-02-05,13,10045
completedFromNCAA,NCAA D1 Men,0.266991,16,2,40.0,53,11.206,8,2022-02-12,9,10046
completedFromNCAA,NCAA D1 Men,0.396128,17,0,40.0,53,19.993,11,2022-02-19,13,10047
completedFromNCAA,NCAA D1 Men,0.630552,53,0,56.0,85,3.83,13,2022-02-22,12,10048
completedFromNCAA,NCAA D1 Men,0.383786,71,0,170.0,53,37.878,23,2022-02-26,3,10049
completedFromNCAA,NCAA D1 Men,0.837516,53,1,113.0,15,3.021,16,2022-03-01,12,10050
completedFromNCAA,NCAA D1 Men,0.839752,53,1,148.0,45,4.585,15,2022-03-05,4,10051
scheduled,NCAA D1 Men,0.122239,68,,,53,,,2022-03-12,,10052
scheduled,NCAA D1 Men,0.294948,53,,,19,,,2022-03-19,,10053
scheduled,NCAA D1 Men,0.933518,53,,,35,,,2022-03-26,,10054
scheduled,NCAA D1 Men,0.366254,67,,,53,,,2022-04-02,,10055
scheduled,NCAA D1 Men,0.826722,53,,,36,,,2022-04-09,,10056
scheduled,NCAA D1 Men,0.375422,60,,,53,,,2022-04-16,,10057
scheduled,NCAA D1 Men,0.276301,84,,,53,,,2022-04-23,,10058
completedFromNCAA,NCAA D1 Men,0.311963,34,1,81.0,50,18.531,9,2022-02-12,11,10059
pending,NCAA D1 Men,0.490811,85,,,50,,,2022-02-19,,10060
completedFromNCAA,NCAA D1 Men,0.88038,50,1,177.0,41,3.405,22,2022-02-22,9,10061
completedFromNCAA,NCAA D1 Men,0.310361,50,2,49.0,25,11.674,12,2022-02-26,13,10062
completedFromNCAA,NCAA D1 Men,0.80019,50,1,127.0,43,4.735,17,2022-03-05,11,10063
scheduled,NCAA D1 Men,0.665264,50,,,7,,,2022-03-08,,10064
scheduled,NCAA D1 Men,0.547991,44,,,50,,,2022-03-12,,10065
scheduled,NCAA D1 Men,0.201185,58,,,50,,,2022-03-26,,10067
scheduled,NCAA D1 Men,0.11034,50,,,26,,,2022-04-02,,10068
scheduled,NCAA D1 Men,0.219029,8,,,50,,,2022-04-16,,10069
scheduled,NCAA D1 Men,0.72967,57,,,50,,,2022-04-30,,10070
completedFromNCAA,NCAA D1 Men,0.409013,15,0,163.0,9,47.219,7,2022-02-12,19,10071
completedFromNCAA,NCAA D1 Men,0.366616,15,1,60.0,5,23.473,13,2022-02-19,8,10072
completedFromNCAA,NCAA D1 Men,0.859293,55,0,99.0,15,38.203,9,2022-02-26,11,10073
completedFromNCAA,NCAA D1 Men,0.566776,15,0,142.0,38,16.717,16,2022-03-05,6,10074
scheduled,NCAA D1 Men,0.593764,86,,,15,,,2022-03-19,,10075
scheduled,NCAA D1 Men,0.518303,15,,,40,,,2022-03-26,,10076
scheduled,NCAA D1 Men,0.636666,87,,,15,,,2022-04-02,,10077
scheduled,NCAA D1 Men,0.611763,15,,,24,,,2022-04-09,,10078
scheduled,NCAA D1 Men,0.850293,10,,,15,,,2022-04-16,,10079
scheduled,NCAA D1 Men,0.293456,15,,,69,,,2022-04-23,,10080
scheduled,NCAA D1 Men,0.639364,15,,,51,,,2022-04-26,,10081
scheduled,NCAA D1 Men,0.94066,59,,,15,,,2022-04-30,,10082
completedFromNCAA,NCAA D1 Men,0.269134,43,0,60.0,56,17.334,14,2022-02-05,16,10083
completedFromNCAA,NCAA D1 Men,0.600572,43,0,87.0,36,24.299,12,2022-02-12,14,10084
completedFromNCAA,NCAA D1 Men,0.881679,4,1,183.0,43,3.607,23,2022-02-19,7,10085
completedFromNCAA,NCAA D1 Men,0.432063,43,0,134.0,34,41.293,7,2022-02-26,15,10086
scheduled,NCAA D1 Men,0.551177,43,,,5,,,2022-03-12,,10087
scheduled,NCAA D1 Men,0.540725,30,,,43,,,2022-03-15,,10088
scheduled,NCAA D1 Men,0.577829,43,,,18,,,2022-03-19,,10089
scheduled,NCAA D1 Men,0.785209,54,,,43,,,2022-03-26,,10090
scheduled,NCAA D1 Men,0.342857,33,,,43,,,2022-04-02,,10091
scheduled,NCAA D1 Men,0.552896,43,,,46,,,2022-04-10,,10092
scheduled,NCAA D1 Men,0.806263,20,,,43,,,2022-04-17,,10093
scheduled,NCAA D1 Men,0.918812,25,,,43,,,2022-04-22,,10094
scheduled,NCAA D1 Men,0.44929,43,,,21,,,2022-04-29,,10095
completedFromNCAA,NCAA D1 Men,0.31235,86,0,61.0,55,18.537,6,2022-02-19,8,10096
completedFromNCAA,NCAA D1 Men,0.344413,55,0,154.0,70,19.087,9,2022-03-05,11,10097
scheduled,NCAA D1 Men,0.162185,38,,,55,,,2022-03-08,,10098
scheduled,NCAA D1 Men,0.724461,4,,,55,,,2022-03-19,,10099
scheduled,NCAA D1 Men,0.853763,55,,,29,,,2022-03-22,,10100
scheduled,NCAA D1 Men,0.685234,55,,,32,,,2022-03-26,,10101
scheduled,NCAA D1 Men,0.0545937,62,,,55,,,2022-04-02,,10102
scheduled,NCAA D1 Men,0.229104,8,,,55,,,2022-04-05,,10103
scheduled,NCAA D1 Men,0.0715299,52,,,55,,,2022-04-09,,10104
scheduled,NCAA D1 Men,0.889017,55,,,41,,,2022-04-16,,10105
scheduled,NCAA D1 Men,0.130952,14,,,55,,,2022-04-23,,10106
scheduled,NCAA D1 Men,0.852394,55,,,51,,,2022-04-30,,10107
completedFromNCAA,NCAA D1 Men,0.976157,26,1,150.0,13,0.473,19,2022-02-05,9,10108
completedFromNCAA,NCAA D1 Men,0.813417,69,1,162.0,13,4.342,12,2022-02-12,6,10109
completedFromNCAA,NCAA D1 Men,0.41854,13,0,51.0,24,12.869,11,2022-02-15,12,10110
completedFromNCAA,NCAA D1 Men,0.668686,13,0,102.0,37,8.497,19,2022-02-22,14,10111
completedFromNCAA,NCAA D1 Men,0.806889,48,1,139.0,13,5.791,17,2022-02-26,6,10112
completedFromNCAA,NCAA D1 Men,0.328726,13,0,146.0,31,35.222,18,2022-03-05,8,10113
scheduled,NCAA D1 Men,0.758613,34,,,13,,,2022-03-12,,10114
scheduled,NCAA D1 Men,0.532531,28,,,13,,,2022-03-20,,10115
scheduled,NCAA D1 Men,0.522048,13,,,22,,,2022-03-26,,10116
