devittes,sog,faceoff_win_rate,on_keeper_sog_faced,expected_goals_allowed,player,faceoffs_taken,usage_adjusted_EGA,EGA_per_game,shooting_pct,EGA,excess_saves,games_appeared_in,share_of_team_assists,save_pct,turnover_rate,faceoff_EGA,faceoff_wins,team_play_shares,penalties,caused_turnovers,excess_saves_per_sog,goals_allowed,excess_goals_scored,team_ID,assists,goals,offensive_EGA,excess_goals_per_shot,sog_faced,ID,turnovers,team_listed_role,shots_faced,defensive_EGA,faceoff_losses,weighted_team_play_shares,expected_goals_scored,on_keeper_rate_faced,sog_rate,seasons_played,sog_rate_faced,gbs,shots
32.0,38.0,,,,Logan Wisnauskas,0.0,2.42976,3.7315,0.442308,26.1205,,7.0,0.22973,,0.173359,0.0,0,0.0767873,1.0,0.0,,,-2.15988,3,17.0,23.0,24.7391,-0.0415361,,1520,8.0,A,,1.38136,0,0.103122,25.1599,,0.730769,5.0,,9.0,52.0
2.0,4.0,,,,Bubba Fairman,0.0,1.43004,0.681574,0.4,4.77102,,7.0,0.027027,,0.147423,0.569814,0,0.0238305,1.0,6.0,,,-0.432635,3,2.0,2.0,2.0177,-0.0865269,,1529,2.0,M,,2.18351,0,0.0303159,2.43263,,0.8,5.0,,11.0,5.0
11.0,18.0,,,,Eric Malever,0.0,2.38883,1.81323,0.4,12.6926,,7.0,0.0675676,,0.185002,0.0,0,0.0379523,2.0,0.0,,,-1.81988,3,5.0,10.0,12.0479,-0.0727953,,16151,4.0,A,,0.644701,0,0.048316,11.8199,,0.72,2.0,,7.0,25.0
,,,,,Noah Beacham,,,,,,,,,,,,,,,,,,,3,,,,,,20706,,M,,,,,,,,1.0,,,
,,,,,Dante Trader,,,,,,,,,,,,,,,,,,,3,,,,,,20707,,M,,,,,,,,1.0,,,
0.0,1.0,,,,Matt Rahill,0.0,1.60176,0.565492,1.0,3.95844,,7.0,0.0135135,,0.211549,0.0,0,0.0176523,0.0,11.0,,,0.469522,3,1.0,1.0,1.18993,0.469522,,1536,2.0,D,,2.76852,0,0.0211264,0.530478,,1.0,5.0,,5.0,1.0
3.0,7.0,,,,Roman Puglise,0.0,1.64282,1.04398,0.5,7.30788,,7.0,0.0135135,,0.172593,1.32957,0,0.0317741,2.0,6.0,,,0.0917058,3,1.0,5.0,4.31283,0.00917058,,1521,3.0,M,,1.66548,0,0.0388423,4.90829,,0.7,5.0,,14.0,10.0
1.0,2.0,,,,Gabe Goforth,0.0,23.4033,1.23936,0.333333,1.23936,,1.0,0.0,,0.0,0.0,0,0.00264784,0.0,0.0,,,-0.446112,3,0.0,1.0,1.23936,-0.148704,,16152,0.0,M,,0.0,0,0.00298423,1.44611,,0.666667,2.0,,0.0,3.0
0.0,0.0,,,,Matthew Kopp,0.0,-4.72577,-0.166841,,-0.166841,,1.0,0.0,,0.0,0.0,0,0.00176523,1.0,0.0,,,,3,0.0,0.0,0.0,,,16153,0.0,D,,-0.166841,0,0.00213159,,,,2.0,,1.0,0.0
,,,,,Chase Cope,,,,,,,,,,,,,,,,,,,3,,,,,,2553,,M,,,,,,,,4.0,,,
,,,,,Eric Spanos,,,,,,,,,,,,,,,,,,,3,,,,,,20708,,A,,,,,,,,1.0,,,
0.0,0.0,,,,Zach Whittier,0.0,10.76,0.189938,,0.189938,,1.0,0.0,,0.0,0.0,0,0.000882613,0.0,0.0,,,,3,0.0,0.0,0.0,,,20709,0.0,A,,0.189938,0,0.00118422,,,,1.0,,1.0,0.0
,,,,,Charlie Koras,,,,,,,,,,,,,,,,,,,3,,,,,,20710,,A,,,,,,,,1.0,,,
14.0,23.0,,,,Anthony DeMaio,0.0,1.97043,1.91304,0.243243,13.3913,,7.0,0.135135,,0.175113,0.0,0,0.0485437,0.0,1.0,,,-8.25051,3,10.0,9.0,12.846,-0.222987,,1519,5.0,M,,0.545224,0,0.0638056,17.2505,,0.621622,5.0,,2.0,37.0
0.0,2.0,,,,Justin Sherrer,0.0,3.10305,0.492982,0.5,1.47895,,3.0,0.0,,0.233542,0.569814,0,0.00794351,1.0,1.0,,,-0.118246,3,0.0,1.0,0.881932,-0.0591231,,1527,1.0,D,,0.0272,0,0.00956847,1.11825,,1.0,3.0,,4.0,2.0
-1.0,0.0,,19.0,7.73008,Drew Morris,0.0,-0.032162,-0.0090837,,-0.0363348,-2.26992,4.0,0.0,0.4737,0.296701,0.0,0,0.0141218,0.0,0.0,-0.119469,10.0,,3,0.0,0.0,-0.167203,,20.0,16155,1.0,G,20.0,0.139967,0,0.00753162,,,,2.0,0.6897,2.0,0.0
1.0,2.0,,,,John Geppert,0.0,1.57581,0.917949,0.4,6.42565,,7.0,0.0,,0.0616672,2.46919,0,0.0291262,1.0,6.0,,,-0.261229,3,0.0,2.0,1.96288,-0.0522457,,1535,1.0,D,,1.99357,0,0.036237,2.26123,,0.4,4.0,,20.0,5.0
2.0,8.0,,,,Jack Koras,0.0,1.6293,0.603976,0.214286,3.62386,,6.0,0.0135135,,0.199052,0.0,0,0.0185349,0.0,0.0,,,-3.15594,3,1.0,3.0,2.86411,-0.225424,,16156,2.0,M,,0.759752,0,0.0224527,6.15594,,0.571429,2.0,,4.0,14.0
12.0,17.0,,,,Kyle Long,0.0,2.35731,1.78931,0.347826,12.5252,,7.0,0.121622,,0.216799,0.0,0,0.0379523,0.0,1.0,,,-2.71731,3,9.0,8.0,11.4101,-0.118144,,1525,5.0,M,,1.11504,0,0.0515371,10.7173,,0.73913,4.0,,5.0,23.0
0.0,0.0,,,,Garrett Gibbons,0.0,5.03174,0.355286,,0.710572,,2.0,0.0,,0.0,0.0,0,0.00353045,0.0,2.0,,,,3,0.0,0.0,0.0,,,16157,0.0,M,,0.710572,0,0.00426318,,,,2.0,,2.0,0.0
-1.0,0.0,,,,Shea Keethler,5.0,2.621,0.370132,,0.740263,,2.0,0.0,,0.496583,0.905611,3,0.0070609,0.0,0.0,,,,3,0.0,0.0,-0.165348,,,20711,1.0,M,,0.0,2,0.00450002,,,,1.0,,2.0,0.0
0.0,0.0,,,,Jack Schirtzer,0.0,9.36696,0.165348,,0.165348,,1.0,0.0,,0.0,0.0,0,0.000882613,0.0,1.0,,,,3,0.0,0.0,0.0,,,20712,0.0,D,,0.165348,0,0.000947373,,,,1.0,,0.0,0.0
,,,,,Jake Smith,,,,,,,,,,,,,,,,,,,3,,,,,,1533,,M,,,,,,,,4.0,,,
0.0,0.0,,,,Joshua Coffman,0.0,10.0635,0.355286,,0.355286,,1.0,0.0,,0.0,0.0,0,0.00176523,0.0,1.0,,,,3,0.0,0.0,0.0,,,1524,0.0,M,,0.355286,0,0.00213159,,,,4.0,,1.0,0.0
-3.0,0.0,,118.0,50.4774,Logan McNaney,0.0,0.0793611,0.120478,,0.843343,-7.52256,7.0,0.0,0.5085,0.219421,0.0,0,0.0759047,0.0,3.0,-0.0637505,58.0,,3,0.0,0.0,-0.499753,,126.0,1517,3.0,G,126.0,1.36584,0,0.0305528,,,,3.0,0.6597,13.0,0.0
